adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre,budget,revenue,director,actors,studio,season,roi,director_encoded,season_encoded,actors_encoded,studio_encoded,genre_encoded
False,/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,"[28, 878, 12, 53]",912649,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",9267.92,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-22,Venom: The Last Dance,False,6.8,1505,Action,120000000,468513700,Kelly Marcel,Tom Hardy,Columbia Pictures,Fall,2.9042808333333334,80,0,122,16,0
False,/rOmUuQEZfPXglwFs5ELLLUDKodL.jpg,"[28, 14, 35]",845781,en,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",2414.156,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,2024-10-31,Red One,False,6.965,604,Action,250000000,166519096,Jake Kasdan,Dwayne Johnson,Seven Bucks Productions,Fall,-0.333923616,56,0,38,68,0
False,/v9Du2HC3hlknAvGlWhquRbeifwW.jpg,"[28, 12, 53]",539972,en,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",1175.071,/i47IUSsN126K11JUzqQIOi1Mg1M.jpg,2024-12-11,Kraven the Hunter,False,5.5,71,Action,110000000,4700000,J.C. Chandor,Aaron Taylor-Johnson,Columbia Pictures,Fall,-0.9572727272727273,52,0,0,16,0
False,/fyeyxFzZ3qYqDsaMVYF6sq3pp2n.jpg,"[28, 12, 53]",1167271,en,Weekend in Taipei,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",1151.264,/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg,2024-09-19,Weekend in Taipei,False,6.171,70,Action,30000000,2826064,George Huang,Luke Evans,EuropaCorp,Summer,-0.9057978666666666,46,2,69,26,0
False,/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg,"[28, 12, 36]",558449,en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1070.109,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,2024-11-05,Gladiator II,False,6.69,1079,Action,310000000,368092895,Ridley Scott,Paul Mescal,Paramount Pictures,Fall,0.18739643548387097,113,0,90,59,0
False,/mQZJoIhTEkNhCYAqcHrQqhENLdu.jpg,"[16, 28, 878, 10751]",1184918,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",1034.993,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,2024-09-08,The Wild Robot,False,8.4,3431,Action,78000000,321836235,Chris Sanders,Lupita Nyong'o,DreamWorks Animation,Summer,3.126105576923077,22,2,70,24,0
False,/6amNYUYvoKsZbg8vE00Yzt9Xn7H.jpg,"[28, 35, 878]",533535,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",834.328,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,Deadpool & Wolverine,False,7.669,5911,Action,200000000,1338073382,Shawn Levy,Ryan Reynolds,Marvel Studios,Summer,5.69036691,126,2,101,44,0
False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,"[16, 10751, 35, 28]",519182,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",599.386,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,Despicable Me 4,False,7.1,2296,Action,100000000,969264325,Chris Renaud,Steve Carell,Universal Pictures,Spring,8.69264325,21,1,115,74,0
False,/uLqNGzJwnj8JKkKuRM2dHWJKCtc.jpg,"[28, 27, 53]",1029235,en,Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",394.863,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg,2024-09-27,Azrael,False,6.0,145,Action,12000000,631272,E.L. Katz,Samara Weaving,C2 Motion Picture Group,Summer,-0.947394,39,2,105,10,0
False,/llIXQAndg5kB6SWlp6ouUdO7Zxd.jpg,"[28, 12, 18]",1084736,fr,Le Comte de Monte-Cristo,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",382.107,/7O0WDGsa4lBzqv3uaB1tp8UvFK3.jpg,2024-06-28,The Count of Monte Cristo,False,8.192,971,Action,46700000,74885636,Alexandre de La Patellière,Pierre Niney,Chapter 2,Spring,0.6035468094218416,5,1,93,14,0
False,/vIgyYkXkg6NC2whRbYjBD7eb3Er.jpg,"[878, 28, 12]",580489,en,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",296.853,/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg,2021-09-30,Venom: Let There Be Carnage,False,6.8,10286,Action,110000000,506863592,Andy Serkis,Tom Hardy,Columbia Pictures,Summer,3.6078508363636366,8,2,122,16,0
False,/tncbMvfV0V07UZozXdBEq4Wu9HH.jpg,"[28, 35, 80, 53, 12]",573435,en,Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",287.848,/oGythE98MYleE6mZlGs5oBGkux1.jpg,2024-06-05,Bad Boys: Ride or Die,False,7.5,2430,Action,100000000,404516167,Adil El Arbi,Will Smith,Westbrook,Spring,3.04516167,2,1,127,81,0
False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,"[878, 28]",335983,en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",266.801,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,2018-09-28,Venom,False,6.8,16086,Action,116000000,856085151,Ruben Fleischer,Tom Hardy,Matt Tolmach Productions,Summer,6.380044405172414,119,2,122,45,0
False,/keC82cQ8q0ZHthrbvzWq04kGnbv.jpg,"[80, 28, 53]",857598,te,పుష్పా 2 - The Rule,"Pushpa struggles to sustain his sandalwood smuggling business in the face of tough opposition from the police, led by Shekhawat.",265.416,/1T21FblunT0y8fz7YaW8JMYgUKm.jpg,2024-12-04,Pushpa 2 - The Rule,False,7.176,17,Action,63000000,99000000,Sukumar,Allu Arjun,Mythri Movie Makers,Fall,0.5714285714285714,128,0,3,51,0
False,/Asg2UUwipAdE87MxtJy7SQo08XI.jpg,"[28, 14, 27]",957452,en,The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",257.159,/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg,2024-08-21,The Crow,False,5.873,803,Action,50000000,24008667,Rupert Sanders,Bill Skarsgård,Davis Films,Summer,-0.51982666,120,2,13,21,0
False,/1wP1phHo2CROOqzv7Azs0MT5esU.jpg,"[16, 35, 10751, 12, 28]",748783,en,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",247.011,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,The Garfield Movie,False,7.112,1116,Action,60000000,254907482,Mark Dindal,Chris Pratt,Alcon Entertainment,Spring,3.2484580333333333,91,1,25,4,0
False,/kVd3a9YeLGkoeR50jGEXM6EqseS.jpg,"[16, 28, 12, 878]",569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",214.001,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,False,8.4,7058,Action,100000000,690897910,Kemp Powers,Shameik Moore,Columbia Pictures,Spring,5.9089791,82,1,108,16,0
False,/Ar7QuJ7sJEiC0oP3I8fKBKIQD9u.jpg,"[28, 18, 12]",98,en,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",238.301,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,2000-05-04,Gladiator,False,8.217,18856,Action,103000000,465361176,Ridley Scott,Russell Crowe,Universal Pictures,Spring,3.518069669902913,113,1,99,74,0
False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",219.399,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.075,5615,Action,340000000,704709660,Louis Leterrier,Vin Diesel,Universal Pictures,Spring,1.0726754705882353,90,1,125,74,0
False,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,"[878, 12, 28]",667538,en,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",189.418,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,2023-06-06,Transformers: Rise of the Beasts,False,7.287,4644,Action,195000000,439000000,Steven Caple Jr.,Anthony Ramos,Skydance Media,Spring,1.2512820512820513,127,1,7,69,0
False,/hPIWQT70wQK6akqfLXByEvr62u0.jpg,"[28, 53, 27, 878]",726139,ko,탈출: 프로젝트 사일런스,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",237.897,/nUKfbKv4RD1YxlsNWd0BwabEf3P.jpg,2024-07-11,Project Silence,False,7.03,254,Action,14750000,6283415,Kim Tae-gon,Lee Sun-kyun,Blaad Studios,Summer,-0.5740057627118644,86,2,65,8,0
